Codice,Descrizione
23.15.90,Altre attività di fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici
23.20.00,Fabbricazione di prodotti refrattari
23.31.00,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti
23.32.00,"Fabbricazione di mattoni, tegole e altri prodotti per l'edilizia in terracotta"
23.41.00,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali
23.42.00,Fabbricazione di articoli sanitari in ceramica
23.43.00,Fabbricazione di isolatori e di pezzi isolanti in ceramica
23.44.00,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale
23.45.00,Fabbricazione di altri prodotti in ceramica
23.51.00,Produzione di cemento
23.52.10,Produzione di calce
23.52.20,Produzione di gesso
23.61.01,Fabbricazione di tubi prefabbricati in calcestruzzo per acqua potabile
23.61.02,Fabbricazione di caminetti prefabbricati in calcestruzzo
23.61.03,Fabbricazione di elementi prefabbricati in calcestruzzo per l'edilizia
23.61.04,Fabbricazione di strutture prefabbricate in calcestruzzo per l'edilizia
23.61.09,Fabbricazione di prodotti in calcestruzzo per l'edilizia n.c.a.
23.62.00,Fabbricazione di prodotti in gesso per l'edilizia
23.63.00,Produzione di calcestruzzo pronto per l'uso
23.64.00,Produzione di malta
23.65.01,"Fabbricazione di prodotti in sostanze vegetali agglomerate con cemento, gesso o altri leganti minerali"
23.65.02,Fabbricazione di prodotti in asbesto-cemento o cellulosa fibrocemento
23.66.01,"Fabbricazione di statue, bassorilievi e altorilievi, vasi e fioriere"
23.66.09,"Fabbricazione di altri prodotti in calcestruzzo, cemento e gesso n.c.a."
23.70.10,Taglio e lavorazione di pietre e di marmo
23.70.20,Lavorazione artistica di marmo e di altre pietre affini
23.70.30,Frantumazione di pietre
23.91.00,Fabbricazione di prodotti abrasivi
23.99.00,Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.
24.10.00,"Fabbricazione di ferro, acciaio e ferroleghe"
24.20.10,"Fabbricazione di tubi, condotti, profilati cavi non saldati e relativi raccordi in acciaio"
24.20.20,"Fabbricazione di tubi, condotti, profilati cavi saldati e relativi raccordi in acciaio"
24.31.00,Trafilatura a freddo di barre
24.32.00,Laminazione a freddo di nastri
24.33.01,Profilatura mediante formatura o piegatura a freddo di profilati aperti e lamiere grecate
24.33.02,Profilatura mediante formatura o piegatura a freddo di pannelli stratificati
24.33.03,Presagomatura dell'acciaio per cemento armato e attività simili
24.34.00,Trafilatura a freddo di fili
24.41.00,Produzione di metalli preziosi
24.42.00,Produzione di alluminio
24.43.00,"Produzione di piombo, zinco e stagno"
24.44.00,Produzione di rame
24.45.00,Produzione di altri metalli non ferrosi
24.46.00,Trattamento di combustibili nucleari
24.51.01,Fusione di getti in ghisa grigia o lamellare
24.51.02,Fusione di getti in ghisa duttile
24.51.09,Fusione di getti in ghisa n.c.a.
24.52.00,Fusione di getti in acciaio
24.53.01,Fusione di getti in alluminio
24.53.02,Fusione di getti in magnesio
24.53.03,Fusione di getti in superleghe a base cobalto
24.53.09,Fusione di getti in metalli leggeri n.c.a.
24.54.01,Fusione di getti in rame
24.54.02,Fusione di getti in zinco
24.54.03,Fusione di getti in nichel
24.54.09,Fusione di getti in altri metalli non ferrosi n.c.a.
25.11.00,Fabbricazione di strutture metalliche e di parti di strutture metalliche
25.12.10,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli in metallo"
25.12.20,Fabbricazione di tende in metallo e prodotti simili
25.21.10,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale
25.21.20,Fabbricazione di generatori di vapore
25.22.00,"Fabbricazione di altre cisterne, serbatoi e contenitori in metallo"
25.30.10,Fabbricazione di armi e munizioni per uso militare
25.30.20,Fabbricazione di armi e munizioni per uso sportivo e civile
25.40.00,Fucinatura e formatura dei metalli e metallurgia delle polveri
25.51.00,Rivestimento dei metalli
25.52.00,Trattamento termico dei metalli
25.53.00,Lavori di meccanica generale dei metalli
25.61.00,Fabbricazione di articoli di coltelleria e posateria
25.62.00,Fabbricazione di serrature e cerniere
25.63.11,Fabbricazione di utensileria ad azionamento manuale
25.63.12,Fabbricazione di parti intercambiabili per macchine utensili
25.63.20,"Fabbricazione di stampi, portastampi, sagome, forme per macchine"
25.91.00,Fabbricazione di bidoni in acciaio e di contenitori simili
25.92.00,Fabbricazione di imballaggi in metallo leggero
25.93.10,Fabbricazione di prodotti fabbricati con fili metallici
25.93.20,Fabbricazione di catene
25.93.30,Fabbricazione di molle
25.94.00,Fabbricazione di articoli di bulloneria
25.99.10,Fabbricazione di articoli domestici in metallo per la cucina e le stanze da bagno
25.99.20,"Fabbricazione di casseforti, cassette di sicurezza e porte metalliche blindate"
25.99.90,Fabbricazione di altri prodotti vari in metallo n.c.a.
26.11.00,Fabbricazione di componenti elettronici
26.12.00,Fabbricazione di schede elettroniche integrate
26.20.00,Fabbricazione di computer e unità periferiche
26.30.01,Fabbricazione di apparecchiature trasmittenti radiotelevisive
26.30.09,Fabbricazione di altre apparecchiature per le comunicazioni
26.40.01,Fabbricazione di console per videogiochi
26.40.09,Fabbricazione di altri prodotti di elettronica di consumo
26.51.10,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia"
26.51.21,Fabbricazione di sistemi antifurto e antincendio
26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.
26.52.00,Fabbricazione di orologi
26.60.01,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi medici"
26.60.02,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi non medici"
26.70.11,Fabbricazione di strumenti ottici e strumenti ottici di precisione
26.70.12,Fabbricazione di strumenti ottici di misurazione e controllo
26.70.20,Fabbricazione di supporti magnetici e ottici
26.70.30,Fabbricazione di apparecchiature fotografiche
27.11.00,"Fabbricazione di motori, generatori e trasformatori elettrici"
27.12.00,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità
27.20.00,Fabbricazione di batterie e accumulatori
27.31.00,Fabbricazione di cavi in fibra ottica
27.32.00,Fabbricazione di altri fili e cavi elettronici ed elettrici
27.33.00,Fabbricazione di attrezzature per cablaggio
27.40.01,Fabbricazione di apparecchiature per l'illuminazione per mezzi di trasporto
27.40.02,Fabbricazione di luminarie per feste
27.40.09,Fabbricazione di altre apparecchiature per l'illuminazione
27.51.00,Fabbricazione di elettrodomestici
27.52.00,Fabbricazione di apparecchi non elettrici per uso domestico
27.90.01,Fabbricazione di apparecchiature elettriche per saldatura e brasatura
27.90.02,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione
27.90.03,"Fabbricazione di capacitori, resistenze, condensatori elettrici e simili"
27.90.04,"Fabbricazione di apparecchiature elettriche per parrucchieri, solarium e centri estetici"
27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
28.11.10,"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli"
28.11.20,Fabbricazione di turbine
28.12.00,Fabbricazione di apparecchiature fluidodinamiche
28.13.00,Fabbricazione di altre pompe e compressori
28.14.00,Fabbricazione di altri rubinetti e valvole
28.15.00,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione"
28.21.10,Fabbricazione di forni
28.21.20,Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico
28.22.01,"Fabbricazione di ascensori, scale mobili e tappeti mobili"
28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione
28.23.00,"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche"
28.24.00,Fabbricazione di utensili portatili a motore
28.25.00,Fabbricazione di apparecchiature di climatizzazione per uso non domestico
28.29.10,Fabbricazione di bilance e distributori automatici
28.29.20,Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche
28.29.30,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio"
28.29.41,"Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico"
28.29.49,Fabbricazione di altre macchine per la pulizia per uso non domestico
28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi
28.29.92,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica"
28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.
28.30.10,Fabbricazione di trattori per l'agricoltura e la silvicoltura
28.30.91,Fabbricazione di macchine per il giardinaggio e la cura del verde
28.30.99,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.
28.41.00,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei
28.42.00,Fabbricazione di altre macchine utensili
28.91.00,Fabbricazione di macchine per la metallurgia
28.92.00,"Fabbricazione di macchine da miniera, cava e cantiere"
28.93.00,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
28.94.10,Fabbricazione di macchine tessili
28.94.20,Fabbricazione di macchine per la lavorazione delle pelli e del cuoio
28.94.30,Fabbricazione di macchine per lavanderie e stirerie
28.95.00,Fabbricazione di macchine per l'industria della carta e del cartone
28.96.00,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma
28.97.01,Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici
28.97.02,Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma
28.97.09,Fabbricazione di macchine per la produzione additiva n.c.a.
28.99.10,Fabbricazione di macchine per la stampa e la legatoria
28.99.20,Fabbricazione di robot industriali con compiti multipli per scopi speciali
28.99.91,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e relative attrezzature"
28.99.92,"Fabbricazione di giostre, altalene e altre attrazioni di divertimento"
28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature
28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.
29.10.00,Fabbricazione di autoveicoli
29.20.00,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi
29.31.00,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli
29.32.00,Fabbricazione di altre parti e accessori per autoveicoli
30.11.00,Costruzione di navi e di strutture galleggianti per scopi civili
30.12.00,Costruzione di imbarcazioni da diporto e sportive
30.13.00,Costruzione di navi e imbarcazioni per scopi militari
30.20.00,Costruzione di locomotive e di materiale rotabile ferro-tranviario
30.31.00,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili"
30.32.00,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari"
30.40.00,Fabbricazione di veicoli militari da combattimento
30.91.11,Fabbricazione di motori per motocicli
30.91.12,"Fabbricazione di motocicli, esclusi motori"
30.91.20,Fabbricazione di parti e accessori per motocicli
30.92.10,"Fabbricazione di biciclette, escluse parti e accessori"
30.92.20,Fabbricazione di parti e accessori per biciclette
30.92.30,Fabbricazione di veicoli per disabili
30.92.40,Fabbricazione di carrozzine e passeggini
30.99.00,Fabbricazione di altri mezzi di trasporto n.c.a.
31.00.11,"Fabbricazione di moduli dedicati al comfort acustico per negozi, uffici e altri spazi per collettività"
31.00.12,Fabbricazione di sedie e poltrone per negozi
31.00.13,Fabbricazione di altri mobili per negozi
31.00.14,Fabbricazione di sedie e poltrone per uffici e altri spazi per collettività
31.00.15,Fabbricazione di altri mobili per uffici e altri spazi per collettività
31.00.20,Fabbricazione di mobili da cucina
31.00.31,"Fabbricazione di mobili per arredo interno, esclusi mobili da cucina, sedie, divani e prodotti simili"
31.00.32,Fabbricazione di mobili per arredo esterno
31.00.33,Fabbricazione di sedie e sedili
31.00.34,"Fabbricazione di divani, divani letto e poltrone"
31.00.35,Fabbricazione di materassi
31.00.36,Fabbricazione di parti e accessori di mobili
31.00.37,Finitura di mobili
31.00.39,Fabbricazione di altri mobili n.c.a.
32.11.00,Coniazione di monete
32.12.10,Lavorazione di pietre preziose e semipreziose
32.12.20,Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi
32.13.00,Fabbricazione di bigiotteria e articoli simili
32.20.00,Fabbricazione di strumenti musicali
32.30.01,"Fabbricazione di attrezzature da palestra, per centri di fitness e per atletica"
32.30.09,Fabbricazione di altri articoli sportivi
32.40.10,Fabbricazione di giochi
32.40.20,Fabbricazione di giocattoli
32.50.10,Fabbricazione di protesi dentarie
32.50.20,Fabbricazione di altre protesi e ausili
32.50.30,Fabbricazione di lenti oftalmiche
32.50.40,Fabbricazione di montature per occhiali
32.50.51,Fabbricazione di strumenti e apparecchiature mediche e dentistiche
32.50.52,Fabbricazione di forniture mediche e dentistiche
32.50.53,Fabbricazione di mobili per uso medico e dentistico
32.91.00,Fabbricazione di scope e spazzole
32.99.10,Fabbricazione di dispositivi protettivi di sicurezza
32.99.20,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
32.99.30,Fabbricazione di articoli di cancelleria
32.99.40,Fabbricazione di casse funebri
32.99.91,Fabbricazione di sigarette elettroniche
32.99.99,Fabbricazione di altri articoli vari n.c.a.
33.11.01,"Riparazione e manutenzione di cisterne, serbatoi e contenitori in metallo"
33.11.02,Riparazione e manutenzione di utensileria ad azionamento manuale
33.11.03,"Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine"
33.11.04,"Riparazione e manutenzione di casseforti, cassette di sicurezza, porte metalliche blindate"
33.11.05,"Riparazione e manutenzione di armi da fuoco militari, di ordinanza e artiglieria"
33.11.06,Riparazione e manutenzione di armi per uso sportivo e civile
33.11.09,Riparazione e manutenzione di altri prodotti in metallo
33.12.10,"Riparazione e manutenzione di motori, turbine, pompe, compressori e altri elementi simili"
33.12.20,Riparazione e manutenzione di caldaie per processi industriali
33.12.30,Riparazione e manutenzione di apparecchi di sollevamento e movimentazione
33.12.40,Riparazione e manutenzione di impianti di refrigerazione industriale e di depurazione dell'aria
33.12.51,Riparazione e manutenzione di macchine e attrezzature per ufficio
33.12.52,Riparazione e manutenzione di bilance e distributori automatici
33.12.53,Riparazione e manutenzione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie
33.12.54,Riparazione e manutenzione di macchine per impacchettare e imballare
33.12.59,Riparazione e manutenzione di altre macchine di impiego generale n.c.a.
33.12.60,Riparazione e manutenzione di trattori agricoli
33.12.70,Riparazione e manutenzione di altre macchine per l'agricoltura e la silvicoltura
33.12.91,Affilatura di lame e seghe per macchinari
33.12.92,"Riparazione e manutenzione di giostre, altalene e altre attrazioni di divertimento"
33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.
33.13.01,"Riparazione e manutenzione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche"
33.13.02,Riparazione e manutenzione di strumenti e apparecchiature ottiche
33.13.09,Riparazione e manutenzione di altre apparecchiature elettroniche e ottiche
33.14.00,Riparazione e manutenzione di apparecchiature elettriche
33.15.00,Riparazione e manutenzione di navi e imbarcazioni per scopi civili
33.16.00,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili
33.17.00,Riparazione e manutenzione di altri mezzi di trasporto per scopi civili
33.18.10,Riparazione e manutenzione di veicoli da combattimento per scopi militari
33.18.20,Riparazione e manutenzione di navi e imbarcazioni per scopi militari
33.18.30,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi militari
33.19.00,Riparazione e manutenzione di altre apparecchiature
33.20.01,"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il"
33.20.02,Installazione di apparecchiature per le comunicazioni e di apparecchiature radiotelevisive
33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo
33.20.04,"Installazione di cisterne, serbatoi e contenitori in metallo"
33.20.05,Installazione di generatori di vapore
33.20.06,Installazione di macchinari e attrezzature per ufficio
33.20.07,Installazione di strumenti e apparecchiature mediche e dentistiche
33.20.09,Installazione di altre macchine e apparecchiature industriali
35.11.00,Produzione di energia elettrica da fonti non rinnovabili
35.12.00,Produzione di energia elettrica da fonti rinnovabili
35.13.00,Trasmissione di energia elettrica
35.14.00,Distribuzione di energia elettrica
35.15.00,Commercio di energia elettrica
